X(E/m),Y(N/m)
330369.991386568755843,4156709.093995346687734
330369.938601019268390,4156709.106174228712916
330369.867918066214770,4156709.107618124689907
330369.753284937294666,4156709.121060420293361
330369.674219947890379,4156709.144876729231328
330369.603536995186005,4156709.146320627070963
330369.524245340027846,4156709.159040975850075
330369.445180351554882,4156709.182857286185026
330369.392168138816487,4156709.183940211310983
330369.312876484240405,4156709.196660562418401
330369.224749461049214,4156709.209561401512474
330369.127787069417536,4156709.222642729058862
330369.066166155098472,4156709.235002106055617
330369.004545238858555,4156709.247361484449357
330368.934088956215419,4156709.259901348967105
330368.810393789550290,4156709.262428182177246
330368.739937504986301,4156709.274968050885946
330368.669481222867034,4156709.287507919128984
330368.581127533630934,4156709.289312804117799
330368.493000512127765,4156709.302213650662452
330368.422544228262268,4156709.314753520768136
330368.352087946783286,4156709.327293392736465
330368.281631663325243,4156709.339833262842149
330368.211402048240416,4156709.363469096831977
330368.140719099086709,4156709.364913008641452
330368.070036147662904,4156709.366356919519603
330367.937958952970803,4156709.391256181057543
330367.867276001838036,4156709.392700093332678
330367.752869545132853,4156709.417238377034664
330367.682413263013586,4156709.429778254590929
330367.620565682766028,4156709.431041679810733
330367.550109400996007,4156709.443581558298320
330367.488488490111195,4156709.455940947402269
330367.426640907942783,4156709.457204374484718
330367.356184626463801,4156709.469744253903627
330367.285501678008586,4156709.471188172232360
330367.171095221478026,4156709.495726464316249
330367.021347293630242,4156709.520986718591303
330366.959726381814107,4156709.533346111886203
330366.906714170705527,4156709.534429053310305
330366.774410311016254,4156709.548232368659228
330366.703954030992463,4156709.560772255063057
330366.642106449347921,4156709.562035688664764
330366.562588133034296,4156709.563660103362054
330366.509802590240724,4156709.575839008670300
330366.448181681567803,4156709.588198405690491
330366.377725402242504,4156709.600738292559981
330366.316331164562143,4156709.624193653464317
330366.184027304523624,4156709.637996979523450
330366.113344354962464,4156709.639440907165408
330366.043114749831147,4156709.663076760247350
330365.981493839994073,4156709.675436159595847
330365.866634048637934,4156709.677782546263188
330365.725721495284233,4156709.702862333972007
330365.663873914454598,4156709.704125774092972
330365.593190965184476,4156709.705569706857204
330365.540632098563947,4156709.728844579774886
330365.479237861698493,4156709.752299946267158
330365.417616955353878,4156709.764659350737929
330365.364831415237859,4156709.776838263962418
330365.294375138706528,4156709.789378162473440
330365.241589601209853,4156709.801557076163590
330365.109059074660763,4156709.804264456965029
330364.994652629771736,4156709.828802779316902
330364.932805049698800,4156709.830066225491464
330364.870957469567657,4156709.831329671666026
330364.818398605566472,4156709.854604551102966
330364.765613066731021,4156709.866783468518406
330364.703765489102807,4156709.868046916555613
330364.642144582234323,4156709.880406326148659
330364.580523677752353,4156709.892765735741705
330364.466117235366255,4156709.917304066941142
330364.351710791175719,4156709.941842398140579
330364.281027845863719,4156709.943286342546344
330364.184292140998878,4156709.967463690321892
330364.113609193707816,4156709.968907636124641
330364.051988290506415,4156709.981267049908638
330363.999202753300779,4156709.993445972912014
330363.946417218423449,4156710.005624893587083
330363.875960945384577,4156710.018164804205298
330363.752492463914678,4156710.031787675339729
330363.699706929619424,4156710.043966598808765
