X(E/m),Y(N/m)
330391.978639370354358,4156632.283916773274541
330391.978639370354358,4156632.283916773274541
330391.978639370354358,4156632.283916773274541
330391.987474820169155,4156632.283736312761903
330391.978639370354358,4156632.283916773274541
330391.978866001125425,4156632.295012734364718
330392.018740414525382,4156632.516210095491260
330392.128395045059733,4156633.124502841383219
330392.228307692450471,4156633.688592208083719
330392.332752938033082,4156634.474600780289620
330392.448299917276017,4156635.371388497296721
330392.479118512128480,4156636.447516182903200
330392.665575651684776,4156637.353956181090325
330392.842517426703125,4156638.227288762573153
330392.993632731260732,4156639.134450607933104
330393.074291105847806,4156640.054152095690370
330393.091968237131368,4156640.919637001585215
330393.153822572086938,4156641.784219608642161
330393.234254295472056,4156642.692825138568878
330393.542820989270695,4156643.519066998735070
330393.735620428225957,4156644.303270997945219
330393.763486514682882,4156644.369305381551385
330393.729731172439642,4156644.447698940988630
330393.792035594931804,4156644.901550562120974
330393.857966077805031,4156645.532937549054623
330393.871110573876649,4156646.176503252238035
330393.829885799088515,4156647.187498863320798
330393.925045238866005,4156648.384418915491551
330394.028360207681544,4156649.547870628535748
330394.075489766604733,4156650.557061652652919
330394.107214758405462,4156651.677573200315237
330393.678590974130202,4156652.763084798585624
330392.830169618595392,4156653.635158848483115
330391.847630618605763,4156654.432268193457276
330390.775831015896983,4156655.186798447277397
330389.641050452017225,4156655.887112291064113
330388.660551752429456,4156656.784085681661963
330387.869676637579687,4156657.876996700186282
330387.152431421622168,4156659.112711558584124
330386.490238713973667,4156660.447207327932119
330386.016536357579753,4156661.922160818707198
330385.763946256251074,4156663.403698589652777
330385.572524249029811,4156664.850685213226825
330385.424599472666159,4156666.263481617905200
330385.303407641767990,4156667.686832583043724
330385.163185195764527,4156669.043968728277832
330385.077108480909374,4156670.455501868389547
330385.046310695004649,4156671.976911805570126
330385.079627215163782,4156673.608018069528043
330385.191329170367680,4156675.182020304258913
330385.339052647701465,4156676.788588550407439
330385.416319526615553,4156678.407696515787393
330385.528927996230777,4156680.026082606986165
330385.623865648522042,4156681.644829642493278
330385.674852951779030,4156683.275574986357242
330385.964622547267936,4156684.912543628364801
330386.191411092062481,4156686.495295756962150
330386.402115288190544,4156688.156080558430403
330386.517216640175320,4156689.896522248163819
330386.703001068555750,4156691.635520194657147
330387.004325381363742,4156693.405459943227470
330387.437273775634822,4156695.128308838233352
330388.508858934976161,4156696.527296739164740
330390.108070032089017,4156697.360478317365050
330391.723591743852012,4156698.126723499502987
330392.140228030330036,4156699.916509304661304
330391.420496749109589,4156701.463091352954507
330389.735209788312204,4156702.041442690882832
330388.146194734843448,4156701.274656508583575
330387.509126441553235,4156699.511574491858482
330387.277125553344376,4156697.673615207895637
330387.221152318874374,4156695.798758682794869
330387.104464607546106,4156693.980645246803761
330386.934991199639626,4156692.174710585270077
330386.710692279739305,4156690.281091051641852
330386.415483525372110,4156688.377819313202053
330386.103737094555981,4156686.530388329643756
330385.826198920723982,4156684.626755675766617
330385.510825990233570,4156682.601789336651564
330385.150369375944138,4156680.533341515343636
330384.796708227484487,4156678.364849589765072
330384.451202407944947,4156676.162889327388257
330384.051324147731066,4156673.895436136052012
330383.695169467013329,4156671.604888689704239
330383.187452779151499,4156669.250833504367620
330382.250200288894121,4156667.072060895152390
330382.351673408993520,4156664.683361270930618
330384.058707071060780,4156663.005606234073639
330384.938169263768941,4156662.787831961177289
330384.929333848413080,4156662.788012430071831
330384.929333848413080,4156662.788012430071831
330384.992088340979535,4156662.831132988445461
330384.938622548594140,4156662.810023883357644
330384.938622548594140,4156662.810023883357644
330384.930013775709085,4156662.821300313342363
330384.938849191064946,4156662.821119844447821
