X(E/m),Y(N/m)
330316.759970109444112,4156620.721868811175227
330316.689513120916672,4156620.734409095253795
330316.609993934864178,4156620.736033958382905
330316.539536944415886,4156620.748574245255440
330316.407231700140983,4156620.762378315906972
330316.310268315603025,4156620.775460225995630
330316.213304931181483,4156620.788542135618627
330316.107506082393229,4156620.801804589107633
330316.001480502309278,4156620.803971081972122
330315.895681653812062,4156620.817233537789434
330315.780820609070361,4156620.819580574985594
330315.675021760980599,4156620.832843033596873
330315.578058377956040,4156620.845924951136112
330315.472259530331939,4156620.859187412541360
330315.366460682940669,4156620.872449874877930
330315.260661835898645,4156620.885712339077145
330315.163698453863617,4156620.898794262204319
330315.049064142571297,4156620.912237271200866
330314.943492029095069,4156620.936595700681210
330314.811186789185740,4156620.950399796478450
330314.696779209771194,4156620.974938772618771
330314.564700704067945,4156620.999838833231479
330314.432622198830359,4156621.024738898500800
330314.291934961220250,4156621.060915469657630
330314.151247726986185,4156621.097092041745782
330314.001498292956967,4156621.122353198938072
330313.869419791037217,4156621.147253272123635
330313.719670360675082,4156621.172514433972538
330313.578983128070831,4156621.208691017702222
330313.438069163821638,4156621.233771640807390
330313.288319736020640,4156621.259032812435180
330313.129508106969297,4156621.273378567304462
330312.988594144931994,4156621.298459198791534
330312.838844716898166,4156621.323720376472920
330312.688641820102930,4156621.326789636630565
330312.530056931194849,4156621.352231363765895
330312.388689496845473,4156621.355120083317161
330312.230331343249418,4156621.391657779924572
330312.071292983135208,4156621.394907593727112
330311.921316824038513,4156621.409072826616466
330311.762278461712413,4156621.412322647403926
330311.612302303256001,4156621.426487887278199
330311.453490678570233,4156621.440833674278110
330311.303514520754106,4156621.454998919740319
330311.144929634756409,4156621.480440676212311
330310.986118013737723,4156621.494786472059786
330310.835915116593242,4156621.497855762951076
330310.686165698920377,4156621.523116982541978
330310.518745351349935,4156621.548739296384156
330310.368542457174044,4156621.551808597054332
330310.209957577171735,4156621.577250369824469
330310.051145956327673,4156621.591596184764057
330309.892334338161163,4156621.605942002497613
330309.724913993733935,4156621.631564333569258
330309.574937838362530,4156621.645729608833790
330309.407517497660592,4156621.671351946424693
330309.248932619695552,4156621.696793738752604
330309.090347744757310,4156621.722235533408821
330308.940598332439549,4156621.747496782802045
330308.781559976865537,4156621.750746660865843
330308.632037307019345,4156621.787103877402842
330308.473225693567656,4156621.801449723541737
330308.314640819968190,4156621.826891533564776
330308.164891413412988,4156621.852152797393501
330307.997471077367663,4156621.877775162458420
330307.839112948626280,4156621.914312941953540
330307.689136801986024,4156621.928478253539652
330307.521716468560044,4156621.954100629314780
330307.372193808900192,4156621.990457868669182
330307.213608943449799,4156622.015899700578302
330307.045961869182065,4156622.030426124110818
330306.887603746610694,4156622.066963922698051
330306.729018883546814,4156622.092405763454735
330306.570434019027743,4156622.117847606539726
330306.412075901869684,4156622.154385415371507
330306.235593367251568,4156622.169092406984419
330306.077461997047067,4156622.216726183425635
330305.892597490281332,4156622.253805657383054
330305.716114958107937,4156622.268512659240514
330305.531250455882400,4156622.305592140648514
330305.337550489348359,4156622.342852178961039
330305.152685987879522,4156622.379931671079248
330304.949923814507201,4156622.406276308465749
330304.756223852164112,4156622.443536361679435
330304.562750638171565,4156622.491892380174249
330304.404392535041552,4156622.528430227190256
330304.219301293487661,4156622.554413777310401
330304.069551908527501,4156622.579675114713609
330303.910740311141126,4156622.594021048396826
330303.743093250668608,4156622.608547539915890
330303.584281656250823,4156622.622893479652703
330303.416634596651420,4156622.637419976759702
330303.231316613033414,4156622.652307586278766
330303.063669554307126,4156622.666834090836346
330302.878805067506619,4156622.703913633245975
330302.711384759168141,4156622.729536105878651
330302.535128990886733,4156622.755339138675481
330302.350037757889368,4156622.781322729773819
330302.173781991470605,4156622.807125772349536
330301.997526221210137,4156622.832928813528270
330301.812661743839271,4156622.870008379686624
330301.644787939614616,4156622.873438952025026
330301.468532174127176,4156622.899242005776614
330301.292276411899365,4156622.925045066513121
330301.115793896722607,4156622.939752165693790
330300.930702672922052,4156622.965735791251063
330300.753993406891823,4156622.969346938654780
330300.568675430025905,4156622.984234606381506
330300.401255134260282,4156623.009857126977295
330300.215937158500310,4156623.024744805414230
330300.039454646117520,4156623.039451930671930
330299.854136671172455,4156623.054339616093785
330299.686716378259007,4156623.079962150193751
330299.519069330417551,4156623.094488727860153
330299.333751356927678,4156623.109376425854862
330299.166331063956022,4156623.134998971130699
330298.981013093900401,4156623.149886676110327
330298.813592802442145,4156623.175509227905422
330298.637337048945483,4156623.201312344521284
330298.461081298533827,4156623.227115463465452
330298.284825546899810,4156623.252918587531894
330298.108796551590785,4156623.289817677345127
330297.932540804147720,4156623.315620807465166
330297.747449592454359,4156623.341604502871633
330297.562358381866943,4156623.367588203400373
330297.377267174422741,4156623.393571906723082
330297.183567257365212,4156623.430832137353718
330296.998476051958278,4156623.456815847661346
330296.813611602643505,4156623.493895526975393
330296.637582617229782,4156623.530794647987932
330296.452491415198892,4156623.556778371799737
330296.276462432462722,4156623.593677501194179
330296.091371230199002,4156623.619661233853549
330295.906506787403487,4156623.656740932259709
